board_name,board_website,board_phone,board_email,agency_affiliation,agency_url,picture_url,bio,city,name,term_end,position,party
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Sioux Falls,Michelle Black,2026-06-30,Private Sector,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Fort Pierre,Dave Bonde,2025-06-30,Community Based Organization,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Pierre,Liza Clark,,Board of Regents,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Rapid City,Amanda Dokter,2026-06-30,Private Sector,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Brookings,Carla Gatzke,2025-06-30,Private Sector,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Sioux Falls,Chris Houwman,2026-06-30,Private Sector,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Pierre,Marcia Hultman,,"Secretary, Dept. of Labor and Regulation",
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Aberdeen,Kim Ludwig,,Department of Human Services-Designee,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Sioux Falls,Jon Mahan,2026-06-30,Organized Labor,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Pierre,Adam Molseed,,Governor's Office of Economic Development,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Vermillion,James Peterson,2024-06-30,Private Sector,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Dell Rapids,Mark Rogers,2025-06-30,Organized Labor,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Pierre,Laura Scheibe,,Department of Education Designee,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Mt. Vernon,Amy Tlam,2026-06-30,Private Sector,
"Workforce Development Council, South Dakota",http://dlr.sd.gov/workforce_services/wdc/,605-773-3101,Dawn.Dovre@state.sd.us,Department of Labor and Regulation,https://dlr.sd.gov/,,,Mobridge,Keri Wientjes,2025-06-30,Private Sector,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/audiology/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Watertown,"Todd Decker, President",2021-10-30,Audiologist,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/audiology/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Mitchell,Clint Hinker,2023-10-30,Dispenser,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/audiology/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Pierre,Julie Paluch,2024-10-30,Public Member,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/audiology/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Yankton,"Dan Smith, Vice President",2024-10-30,Dispenser,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",https://doh.sd.gov/licensing-and-records/boards/audiology/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Rapid City,Norman Sorensen,2023-10-30,Audiologist,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Rapid City,Chris Dietrich,2025-10-30,MD,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Hill City,Richard Hainje,2024-10-30,Public Member,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Pierre,"Philip Meyer, President",2025-10-30,DO,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sioux Falls,Jeffrey Murray,2023-10-30,MD,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Watertown,"Aaron Shives, Vice President",2025-10-30,MD,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Mitchell,Jennifer Tegethoff,2024-10-30,MD,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sioux Falls,Gary Timmerman,2023-10-30,MD,
Medical and Osteopathic Examiners,http://www.sdbmoe.gov/,605-367-7781,sdbmoe@state.sd.us,Department of Health,http://doh.sd.gov/,,,Sioux Falls,Suzanne Veenis,2025-10-30,Public Member,
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Sioux Falls,Julie Ashworth,2025-06-30,Board Member,Democrat
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Pierre,Jeff Clines,,BIT Commissioner,Republican
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Hill City,Doyle Estes,2025-06-30,Board Member,Independant
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Spearfish,Kay Jorgensen,2024-06-30,Board Chair,Republican
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Sioux Falls,Dave Landry,2026-06-30,Board Member,Republican
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Ft. Pierre,Shuree Mortensen,,"Board of Regents, Communications Director",Republican
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Yankton,Jerry Oster,2026-06-30,Board Member,Independant
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Sioux Falls,Julie Overgaard,,SDPB Executive Director,Independant
Educational Telecommunications,,,,Bureau of Information and Telecommunications,http://bit.sd.gov,,,Sioux Falls,Erika Tordsen,,Board Member,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Sioux Falls,Phyllis Heineman,2023-12-31,,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Rapid City,Rich Meyer,2025-12-31,,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Watertown,Jean Moulton,2024-12-31,,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Huron,Terry Nebelsick,2024-12-31,President,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Dupree,Linda Olsen,2024-12-31,,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Sioux Falls,Steve Perkins,2026-12-31,,
"Education Standards, South Dakota Board of",http://doe.sd.gov/board/index.aspx,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Sioux Falls,Julie Westra,2023-12-31,Vice President,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Pierre,Vacant,,South Dakota Department of Transportation (DOT),
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,"US Forestry Service, Black Hills",Rapid City,Andy Barth,2022-06-30,Federal Government,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Rapid City,Ray Black,,Wildland Fire Division,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Rapid City,David Goodwin,,South Dakota National Guard,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,Douglas County Emergency Manager,Armour,Pat Harrington,2025-06-30,Emergency Management Representative,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,Deuel County Commissioner,Clear Lake,Gary Jaeger,2025-06-30,South Dakota Association of County Commissioners,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,Pierre Police Chief,Pierre,Jason Jones,2025-06-30,Police Chiefs Association,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Rapid City,Kevin Karley,2025-06-30,South Dakota APCO/NENA Chapter,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Pierre,Chuck Kevghas,,South Dakota Department of Health Representative,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,State 911 Coordinator,Pierre,Maria King,,911 Coordinator,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,"President, SD Firefighters",Viborg,Charlie Kludt,2021-06-30,South Dakota Fire Fighters Association,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,SD Legislator,Brandon,David Kull,,SD House of Representatives,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,EMS Association and employee of Rapid City Fire Department,Rapid City,Brent Long,2025-06-30,South Dakota Emergency Medical Technicians Association,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Pierre,Chad Mosteller,,Division of Criminal Investigation (DCI),
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Rapid City,Bruce Nachtigall,,"Game, Fish and Parks (GFP)",
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Pierre,Trent Nincehelser,,Bureau of Information & Telecommunications (BIT),
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,SWST Emergency Manager,Sisseton,Jim Pearson,2025-06-30,Tribal Government,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Sioux Falls,Tim Rave,2025-06-30,South Dakota Association of Healthcare Organizations,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Canton,Steve Swenson,2025-06-30,South Dakota Sheriff's Association,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,,Pierre,Garrett Wellman,,South Dakota Department of Public Safety,
Public Safety Communications Council,inc/sdpscc.sd.gov,,,Bureau of Information and Telecommunications,http://bit.sd.gov/,,Senate representative,Big Stone City,John Wiik,2024-06-30,SD Senate,
Petroleum Release Compensation Board,https://danr.sd.gov/Funding/EnviromentalFunding/Petroleum.aspx,605-773-3769,DANRmail@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,Republican,Rapid City,David Kallemeyn,2022-05-01,Vice Chair - Engineer,Republican
Petroleum Release Compensation Board,https://danr.sd.gov/Funding/EnviromentalFunding/Petroleum.aspx,605-773-3769,DANRmail@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,Republican,Mitchell,Donald Meyers,2022-05-01,Petroleum Marketing,Republican
Petroleum Release Compensation Board,https://danr.sd.gov/Funding/EnviromentalFunding/Petroleum.aspx,605-773-3769,DANRmail@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,Independent,Sioux Falls,Bert Olson,2023-06-01,Banking / Finance,Democrat
Petroleum Release Compensation Board,https://danr.sd.gov/Funding/EnviromentalFunding/Petroleum.aspx,605-773-3769,DANRmail@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,Repbulican,Spencer,Dennis Rowley,2026-05-01,Chair - Insurance or Claims Adjusting,Republican
Petroleum Release Compensation Board,https://danr.sd.gov/Funding/EnviromentalFunding/Petroleum.aspx,605-773-3769,DANRmail@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,Republican,Rapid City,Jim Sachs,2023-05-01,Petroleum Marketing,Republican
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Canton,Sen. Jim Bolin,2024-12-31,Senate Appointee,Republican
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Rosebud,Rep. Eric Emery,2024-12-31,House Appointee,Democrat
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,"Mitchell, SD",Joseph Graves,2024-03-01,Governor Appointee,Republican
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Aberdeen,Dr. Becky Guffin,2024-03-01,Governor Appointee,Democrat
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Sioux Falls,Sen. Reynold Nesiba,2024-12-31,Senate Appointee,Democrat
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Bryant,Rep. Stephanie Sauder,2024-12-31,House Appointee,Republican
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Yankton,Rep. Mike Stevens,2024-12-31,House Appointee,Republican
Teacher Compensation Review Board,,605-773-3134,DOEBoards@state.sd.us,Department of Education,http://doe.sd.gov/,,,Huron,Sen. David Wheeler,2024-12-31,Senate Appointee,Republican
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/JulieBartling.jpg,"Contact Information: 28291 US Hwy 18 Gregory, SD 57533 PH: 605-222-3378 Juliea.bartling@state.sd.us",Gregory,Julie Bartling,2025-01-10,Commissioner,Democrat
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/TravisBies.jpg,"Contact Information: 25813 S. FORK ROAD FAIRBURN, SD 57738 PH: 605.390.0889 Travis.Bies@state.sd.us",Fairburn,Travis Bies,2027-01-10,Vice-Chair,Republican
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,,,Yankton,Bruce Cull,2024-01-10,,Republican
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/JonLocken.jpg,"Contact information: 13755 396th Avenue Bath, SD 57427 Ph: 605.380.8322 Jon.Locken@state.sd.us",Bath,Jon Locken,2026-01-10,Commissioner,Democrat
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/StephanieRissler.jpg,"Contact information: 501 Bulow Street Vermillion, SD 57069 605-677-9372 Stephanie.rissler@state.sd.us",Vermillion,Stephanie Rissler,2026-01-10,Chair,Independant
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/CharlesSpring.jpg,"Contact Information: 19098 Chalk Butte Road Union Center, SD 57787 PH: 605.985.5978 Charles.Spring@state.sd.us",Union Center,Charles Spring,2024-01-10,Commissioner,Republican
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/JimWhite.jpg,,Huron,Jim White,2025-01-10,Commissioner,Republican
"Game, Fish and Parks Commission",http://gfp.sd.gov/agency/commission/,605-773-3718,Rachel.Comes@state.sd.us ,"Department of Game, Fish, and Parks",http://gfp.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/RobertWhitmyre.jpg,"Contact Information: 14408 431ST AVENUE WEBSTER, SD 57274 PH: 605.265.0168 Robert.Whitmyre@state.sd.us",Webster,Robert Whitmyre,2027-01-10,Commissioner,Democrat
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Pine Ridge,Burdette Clifford,,Representative of Directors of 121 Projects,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Sioux Falls,Richard Crawford,2024-06-30,"Former Recipient of Services, Business and Industry",
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Brookings,Kelly Deckert,2025-06-30,Business & Industry,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Rapid City,Pam Fisher,2026-06-30,Former recipient of VR services,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Baltic,Elaine Fritz,2024-06-30,Recipient of VR Services,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Sioux Falls,Ryan Groeneweg,2025-06-30,"Former recipient of VR Services, Business and Industry, Represenative of a Disability Advocacy Group",
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Sioux Falls,Chelle Hart,2024-06-30,"Former recipient of VR Services, Blind Individual",
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Sioux Falls,Kellie Hauglid,2024-06-30,Vocational Rehabilitation Counselor,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Sioux Falls,Gaye Mattke,,Director for SBVI,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Sioux Falls,Carla Miller,2026-06-30,Rep of Parent Training & Info Center,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Garretson,Jeff Nelson,2024-06-30,"Former Recipient of Services, Business & Industry",
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Aberdeen,Nichole Nelson,2025-06-30,Representative of Community Rehabilitation Programs,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Pierre,Kendra Ringstmeyer,2024-06-30,Representative of State Workforce Board,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Pierre,George Seamon,2026-06-30,State Education Agency Representative,
"Service to the Blind and Visually Impaired, Board of",https://dhs.sd.gov/servicetotheblind/default.aspx,605-773-4644,infoSBVI@state.sd.us,Department of Human Services,https://dhs.sd.gov/servicetotheblind/default.aspx,,,Pierre,Cole Uecker,2023-06-30,Represents Client Assistance Program,
Open Meetings Commission,http://atg.sd.gov/legal/opengovernment/MeetingCommission.aspx,,,rney General,http://atg.sd.gov/,,,,Katelynn Hoffman,,Turner County State's Attorney,
Open Meetings Commission,http://atg.sd.gov/legal/opengovernment/MeetingCommission.aspx,,,rney General,http://atg.sd.gov/,,,,Emily Sovell,,Sully County State's Attorney,
Open Meetings Commission,http://atg.sd.gov/legal/opengovernment/MeetingCommission.aspx,,,rney General,http://atg.sd.gov/,,,,Ernest Thompson,,Brown County State's Attorney,
Open Meetings Commission,http://atg.sd.gov/legal/opengovernment/MeetingCommission.aspx,,,rney General,http://atg.sd.gov/,,,,Alexis Tracey,,Clay County State's Attorney,
Open Meetings Commission,http://atg.sd.gov/legal/opengovernment/MeetingCommission.aspx,,,rney General,http://atg.sd.gov/,,,,Cassie Wendt,,Butte County State's Attorney (Chair),
"Nursing Facility Administrators, South Dakota State Board for",https://doh.sd.gov/licensing-and-records/boards/nursing-facility/,605-224-1282,sdnfa@midwestsolutionssd.com,Department of Health,http://doh.sd.gov/,,,Volga,"Jason Hanssen, Secretary",2023-10-30,Nursing Facility Administrator,
"Nursing Facility Administrators, South Dakota State Board for",https://doh.sd.gov/licensing-and-records/boards/nursing-facility/,605-224-1282,sdnfa@midwestsolutionssd.com,Department of Health,http://doh.sd.gov/,,,Sioux Falls,"Justin Hinker, President",2023-10-30,Nursing Facility Administrator,
"Nursing Facility Administrators, South Dakota State Board for",https://doh.sd.gov/licensing-and-records/boards/nursing-facility/,605-224-1282,sdnfa@midwestsolutionssd.com,Department of Health,http://doh.sd.gov/,,,Pierre,Marilyn Kinsman,2024-10-30,Public Member,
"Nursing Facility Administrators, South Dakota State Board for",https://doh.sd.gov/licensing-and-records/boards/nursing-facility/,605-224-1282,sdnfa@midwestsolutionssd.com,Department of Health,http://doh.sd.gov/,,,Rapid City,Daryl Reinicke,2024-10-30,Nursing Facility Administrator,
"Nursing Facility Administrators, South Dakota State Board for",https://doh.sd.gov/licensing-and-records/boards/nursing-facility/,605-224-1282,sdnfa@midwestsolutionssd.com,Department of Health,http://doh.sd.gov/,,,Flandreau,"Timothy Yeaton, Vice President",2023-10-30,Nursing Facility Administrator,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Watertown,Kelley Anderson,2023-06-30,SD Association-Public Safety Communications Official,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,,Andrew Boyd,2025-06-30,South Dakota Telecommunications Service Provider,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Oacoma,Pam Bryan,2024-06-30,Telecommunication Provider,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Spearfish,Michelle DeNeui,2024-06-30,Municipal League,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Goodwin,Gary Jaeger,2023-06-30,County Commissioner,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Yankton,Amy Leon,2023-06-30,Municipal League,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Pierre,Rick Miller,,Department of Public Safety,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,,Stephanie Olson,2025-06-30,South Dakota National Emergency Number Association Member,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Bison,Kelly Serr,2022-06-30,Sheriff,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Aberdeen,Duane Sutton,2024-06-30,County Commissioner,
911 Coordination Board,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,Department of Public Safety,http://dps.sd.gov/,,,Watertown,Tim Toomey,2022-06-30,Police Chief,
